"Step","Actions","Successes","Observations","Coverage","TransportRate","Finished","TimeoutAgents","NoOpSource","RunID","MaxSteps","RemainingSteps","WallTimeSinceStart","StepDurationMs","ErrorTypes","CompletedSubtasksDelta","EndReason"
"11","['NoOp', 'OpenObject(Fridge|-02.10|+00.00|+01.07)']","[True, False]","['Action NoOp succeeded.', 'Action OpenObject(Fridge_1) failed.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","39","28.044224977493286","131.07512053102255","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.OpenObject (System.String objectId, System.Single openness, System.Boolean forceAction, System.Boolean returnToStart, System.Boolean ignoreAgentInTransition, System.Boolean stopAtNonStaticCol, System.Nullable`1[T] physicsInterval, System.Boolean useGripper, System.Nullable`1[T] moveMagnitude) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"12","['NoOp', 'RotateLeft']","[True, True]","['Action NoOp succeeded.', 'Action RotateLeft succeeded.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","38","30.047932624816895","153.6565888673067","[]","[]","max_steps_reached"
"13","['NoOp', 'RotateLeft']","[True, True]","['Action NoOp succeeded.', 'Action RotateLeft succeeded.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","37","32.05207419395447","110.22447235882282","[]","[]","max_steps_reached"
"14","['NoOp', 'RotateLeft']","[True, True]","['Action NoOp succeeded.', 'Action RotateLeft succeeded.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","36","36.058404207229614","146.31477184593678","[]","[]","max_steps_reached"
"15","['NoOp', 'MoveAhead']","[True, False]","['Action NoOp succeeded.', 'Action MoveAhead failed.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","35","38.06194567680359","119.04710531234741","['Dishwasher is blocking Agent 1 from moving by (-0.2500, 0.0000, 0.0000).']","[]","max_steps_reached"
"16","['NoOp', 'OpenObject(Fridge|-02.10|+00.00|+01.07)']","[True, False]","['Action NoOp succeeded.', 'Action OpenObject(Fridge_1) failed.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","34","40.06560397148132","130.61392307281494","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.OpenObject (System.String objectId, System.Single openness, System.Boolean forceAction, System.Boolean returnToStart, System.Boolean ignoreAgentInTransition, System.Boolean stopAtNonStaticCol, System.Nullable`1[T] physicsInterval, System.Boolean useGripper, System.Nullable`1[T] moveMagnitude) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"17","['NoOp', 'MoveAhead']","[True, False]","['Action NoOp succeeded.', 'Action MoveAhead failed.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","33","42.06954884529114","140.24121966212988","['Dishwasher is blocking Agent 1 from moving by (-0.2500, 0.0000, 0.0000).']","[]","max_steps_reached"
"18","['NoOp', 'RotateRight']","[True, True]","['Action NoOp succeeded.', 'Action RotateRight succeeded.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","32","44.07318472862244","123.75710718333721","[]","[]","max_steps_reached"
"19","['NoOp', 'MoveAhead']","[True, True]","['Action NoOp succeeded.', 'Action MoveAhead succeeded.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","31","46.07659649848938","117.19191260635853","[]","[]","max_steps_reached"
"20","['NoOp', 'MoveAhead']","[True, True]","['Action NoOp succeeded.', 'Action MoveAhead succeeded.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","30","48.08028602600098","109.23254024237394","[]","[]","max_steps_reached"
"21","['NoOp', 'RotateLeft']","[True, True]","['Action NoOp succeeded.', 'Action RotateLeft succeeded.']","0.0","0.0","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","29","50.08464765548706","150.74265468865633","[]","[]","max_steps_reached"
"22","['NoOp', 'OpenObject(Fridge|-02.10|+00.00|+01.07)']","[True, True]","['Action NoOp succeeded.', 'Action OpenObject(Fridge_1) succeeded.']","0.0","0.045454545454545456","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","28","52.08807420730591","135.59595867991447","[]","['OpenObject(Fridge)']","max_steps_reached"
"23","['NoOp', 'Done']","[True, True]","['Action NoOp succeeded.', 'Action Done succeeded.']","0.0","0.045454545454545456","False","[]","['idle_heartbeat', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","27","56.0936017036438","129.54410817474127","[]","[]","max_steps_reached"
"24","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'NoOp']","[False, True]","['Action PickupObject(Apple_1) failed.', 'Action NoOp succeeded.']","0.0","0.045454545454545456","False","[]","['', 'idle_heartbeat']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","26","66.10583829879761","325.4660991951823","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"25","['MoveAhead', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[True, False]","['Action MoveAhead succeeded.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","25","70.11196517944336","137.97410484403372","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"26","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[False, False]","['Action PickupObject(Apple_1) failed.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","24","70.11196517944336","109.74904522299767","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"27","['RotateRight', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[True, False]","['Action RotateRight succeeded.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","23","72.11722087860107","142.36496947705746","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"28","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[False, False]","['Action PickupObject(Apple_1) failed.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","22","74.12108135223389","134.5068020746112","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"29","['LookDown(30)', 'PickupObject(Bottle|+01.54|+00.89|-02.54)']","[True, False]","['Action LookDown(30) succeeded.', 'Action PickupObject(Bottle_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","21","76.1242880821228","128.06905340403318","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"30","['PickupObject(Apple|-00.47|+01.15|+00.48)', 'MoveAhead']","[False, False]","['Action PickupObject(Apple_1) failed.', 'Action MoveAhead failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","20","78.12781071662903","104.8825541511178","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ', 'StandardCounterHeightWidth is blocking Agent 1 from moving by (-0.2500, 0.0000, 0.0000).']","[]","max_steps_reached"
"31","['LookUp(30)', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[True, False]","['Action LookUp(30) succeeded.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","19","80.13136386871338","118.85457951575518","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
"32","['MoveAhead', 'PickupObject(Potato|-01.66|+00.93|-02.15)']","[True, False]","['Action MoveAhead succeeded.', 'Action PickupObject(Potato_1) failed.']","0.0","0.045454545454545456","False","[]","['', '']","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","50","18","82.13497543334961","94.37683038413525","['NullReferenceException: Target object not found within the specified visibility.. trace:   at UnityStandardAssets.Characters.FirstPerson.BaseFPSAgentController.getInteractableSimObjectFromId (System.String objectId, System.Boolean forceAction) [0x0007a] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at UnityStandardAssets.Characters.FirstPerson.PhysicsRemoteFPSAgentController.PickupObject (System.String objectId, System.Boolean forceAction, System.Boolean manualInteract) [0x00000] in <686694aeb00e4f03b2b15637c42c1442>:0 \n  at (wrapper managed-to-native) System.Reflection.MonoMethod.InternalInvoke(System.Reflection.MonoMethod,object,object[],System.Exception&)\n  at System.Reflection.MonoMethod.Invoke (System.Object obj, System.Reflection.BindingFlags invokeAttr, System.Reflection.Binder binder, System.Object[] parameters, System.Globalization.CultureInfo culture) [0x00032] in <695d1cc93cca45069c528c15c9fdd749>:0 ']","[]","max_steps_reached"
